epoch,step,name,value
1,1,loss,10.061441421508789
1,2,loss,9.940691947937012
1,3,loss,9.425886154174805
1,4,loss,9.662168502807617
1,5,loss,11.141265869140625
1,6,loss,8.88170051574707
1,7,loss,9.082080841064453
1,8,loss,9.947720527648926
1,9,loss,9.872030258178711
1,10,loss,9.444409370422363
1,11,loss,10.108460426330566
1,12,loss,7.516326904296875
1,13,loss,9.649087905883789
1,14,loss,9.507670402526855
1,15,loss,9.509848594665527
1,16,loss,7.752633094787598
1,17,loss,9.807319641113281
1,18,loss,10.332857131958008
1,19,loss,9.706136703491211
1,20,loss,10.747676849365234
1,21,loss,8.142738342285156
1,22,loss,10.734358787536621
1,23,loss,10.430231094360352
1,24,loss,9.186793327331543
1,25,loss,9.427518844604492
2,1,loss,10.008341789245605
2,2,loss,10.138155937194824
2,3,loss,9.41991901397705
2,4,loss,10.106724739074707
2,5,loss,11.222684860229492
2,6,loss,9.107522010803223
2,7,loss,9.723834991455078
2,8,loss,9.9488525390625
2,9,loss,10.144966125488281
2,10,loss,9.50925350189209
2,11,loss,10.213138580322266
2,12,loss,7.399636745452881
2,13,loss,9.680458068847656
2,14,loss,9.700016975402832
2,15,loss,9.51539134979248
2,16,loss,7.984324932098389
2,17,loss,9.873101234436035
2,18,loss,9.6881685256958
2,19,loss,9.642735481262207
2,20,loss,10.424398422241211
2,21,loss,7.659596920013428
2,22,loss,11.120511054992676
2,23,loss,10.64207935333252
2,24,loss,9.513612747192383
2,25,loss,9.078701972961426
3,1,loss,10.150667190551758
3,2,loss,10.117195129394531
3,3,loss,9.609731674194336
3,4,loss,9.476760864257812
3,5,loss,11.162644386291504
3,6,loss,8.78619384765625
3,7,loss,9.269866943359375
3,8,loss,9.686369895935059
3,9,loss,9.95510196685791
3,10,loss,9.40069580078125
3,11,loss,10.054119110107422
3,12,loss,8.301328659057617
3,13,loss,9.29766845703125
3,14,loss,9.574621200561523
3,15,loss,9.461078643798828
3,16,loss,7.821338176727295
3,17,loss,10.115646362304688
3,18,loss,10.339384078979492
3,19,loss,9.384683609008789
3,20,loss,10.724677085876465
3,21,loss,7.730780124664307
3,22,loss,10.633872985839844
3,23,loss,10.299936294555664
3,24,loss,9.506327629089355
3,25,loss,9.2421293258667
4,1,loss,10.42302131652832
4,2,loss,9.528631210327148
4,3,loss,9.03237533569336
4,4,loss,9.512369155883789
4,5,loss,11.073132514953613
4,6,loss,8.78929328918457
4,7,loss,9.305258750915527
4,8,loss,9.788400650024414
4,9,loss,10.034259796142578
4,10,loss,8.862409591674805
4,11,loss,10.423494338989258
4,12,loss,7.741911888122559
4,13,loss,9.654825210571289
4,14,loss,9.476914405822754
4,15,loss,9.48373794555664
4,16,loss,7.717562198638916
4,17,loss,10.206364631652832
4,18,loss,9.741312980651855
4,19,loss,9.698022842407227
4,20,loss,10.420992851257324
4,21,loss,7.666515827178955
4,22,loss,10.174180030822754
4,23,loss,9.979870796203613
4,24,loss,9.561359405517578
4,25,loss,9.065391540527344
5,1,loss,10.08518123626709
5,2,loss,9.782721519470215
5,3,loss,9.495636940002441
5,4,loss,9.49184513092041
5,5,loss,10.976980209350586
5,6,loss,9.028614044189453
5,7,loss,8.946188926696777
5,8,loss,9.802361488342285
5,9,loss,10.397086143493652
5,10,loss,8.950338363647461
5,11,loss,10.398094177246094
5,12,loss,7.555089950561523
5,13,loss,9.698824882507324
5,14,loss,9.397652626037598
5,15,loss,9.346242904663086
5,16,loss,7.965785026550293
5,17,loss,9.824044227600098
5,18,loss,10.303550720214844
5,19,loss,9.714126586914062
5,20,loss,10.956048011779785
5,21,loss,7.67270040512085
5,22,loss,10.343069076538086
5,23,loss,10.278855323791504
5,24,loss,9.499626159667969
5,25,loss,9.230381965637207
